S.No.,Property_Name,Price_in_INR,No_of_Bedroom,Property_type,No_of_Bathroom,Carpet_Area(Sq Ft),Garden,Property Status,Parking,Council_Tax
250,"Queens Gate, South Kensington SW7",418739500,4,Flat,4,2000,Ask agent,"TENURE
Share of Freehold",Ask agent,Band: H
251,"Chester Square, Belgravia, London, SW1W",1431135000,8,Terraced,6,0,Ask agent,-,Ask agent,Band: H
252,"Elsworthy Road, Primrose Hill, London, NW3",1431135000,6,Detached,3,4000,Yes,-,Yes,Band: H
253,"Down Street Mews, Mayfair, London, W1J",1426364550,5,Semi-Detached,4,6000,Ask agent,-,Yes,Band: H
254,"Down Street Mews, London, W1J",1426364550,5,Mews,7,6000,Ask agent,-,Yes,Band: H
255,"Down Street Mews, London, W1J",1426364550,5,House,4,6000,Ask agent,-,Yes,Ask agent
256,"Marylebone Square, Marylebone W1",1420003950,3,Flat,3,1000,Ask agent,-,Yes,Ask agent
257,"Moxon Street, W1U",1420003950,3,Flat,3,1000,Terrace,"TENURE
Leasehold",Yes,Ask agent
258,"Down Street Mews, London, W1J",1407282750,4,House,4,6000,Yes,-,Yes,Ask agent
259,"Down Street Mews, London, W1J",1407282750,4,Mews,7,6000,Ask agent,-,Yes,Band: H
260,"Down Street Mews, Mayfair, London, W1J",1407282750,4,Semi-Detached,4,6000,Ask agent,-,Yes,Band: H
261,"Buckingham Gate, St James's, SW1E",1378130000,3,Apartment,4,4000,Ask agent,-,Yes,Ask agent
262,Chelsea,1378130000,5,Apartment,4,0,Ask agent,"TENURE
Share of Freehold",Ask agent,Ask agent
263,"Buckingham Gate, London, SW1E",1378130000,3,Apartment,3,4000,Ask agent,"TENURE
Share of Freehold",Yes,Band: H
264,"Connaught Place, Connaught Village, London, W2",1378130000,4,Apartment,5,3000,Ask agent,"TENURE
Share of Freehold",Ask agent,Band: H
265,Buckingham Gate London SW1E,1378130000,3,Flat,3,0,Terrace,"TENURE
Leasehold",Off street,Band: H
266,"Eaton Square, London, SW1W",1372829500,4,Apartment,4,3000,Yes,"TENURE
Leasehold",Ask agent,Band: H
267,"Marlborough Place, London, NW8",1372829500,6,Detached,6,0,Yes,-,Yes,Band: H
268,Henry Moore Court,1372829500,4,House,6,4000,Ask agent,"TENURE
Leasehold",Yes,Band: TBC
270,"Marlborough Place, St John's Wood, NW8",1372829500,6,House,6,0,Yes,-,Yes,Band: H
271,"Marlborough Place, St John's Wood, London, NW8",1372829500,6,Detached,5,5000,Yes,-,Yes,Band: H
272,"Hampstead Lane, Hampstead, London, NW3",1372829500,5,Detached,6,11000,Yes,-,Yes,Band: F
273,"One Casson Square, Southbank Place, Belvedere Road, London, SE1",1372829500,3,Apartment,3,0,Yes,"TENURE
Leasehold",Ask agent,Band: H
274,"The Portia Fox Penthouse, One Casson Square, Southbank Place, London, SE1",1372829500,3,Penthouse,3,3000,Yes,"TENURE
Leasehold",Ask agent,Band: H
275,"Vaughan Avenue, London, W6",307429000,4,Semi-Detached,2,0,Yes,-,Ask agent,Band: G
276,"Manresa Road, London, SW3",1372829500,4,Semi-Detached,4,0,Yes,"TENURE
Leasehold",Yes,Band: H
277,"Henry Moore Court, Chelsea, SW3",1372829500,4,Town House,4,4000,Yes,"TENURE
Share of Freehold",Yes,Band: H
278,"Rosslyn Hill, London",1351627500,6,Detached,6168,0,Yes,-,Yes,Ask agent
279,"Cadogan Place, London, SW1X",1345796950,4,Penthouse,6,4000,Yes,-,Ask agent,Ask agent
280,"Hill Street, Mayfair, London, W1J",1335726000,4,Flat,4,3000,Yes,"TENURE
Leasehold",Yes,Band: H
281,"Grosvenor Crescent, London, SW1X",1325125000,4,Apartment,4,3000,Ask agent,"TENURE
Leasehold",Underground,Ask agent
282,"The Bishops Avenue, N2",1325125000,8,Detached,8,31000,Ask agent,-,Yes,Band: H
283,"Mayfair Park Residences, Stanhope Gate, London, W1K",1325125000,1,Flat,1,0,Ask agent,"TENURE
Leasehold",Yes,Band: H
284,"Pavilion Apartments, St. Johns Wood Road, London, NW8",1325125000,4,Penthouse,3,0,Ask agent,"TENURE
Leasehold",Yes,Ask agent
285,"Chester Square, London, SW1W",1325125000,4,Terraced,4,3000,Yes,-,Ask agent,Ask agent
286,"Chesham Place, Belgravia, London, SW1X",1325125000,4,Flat,4,0,Yes,"TENURE
Share of Freehold",Yes,Band: H
287,"Wimpole Street, London",1325125000,5,Terraced,5,4000,Yes,-,Ask agent,Band: H
288,"Chester Square, Belgravia SW1W",1325125000,4,Terraced,3,3000,Ask agent,-,Ask agent,Ask agent
289,"St. Johns Wood Road, London, NW8",1325125000,4,Penthouse,3,3000,Ask agent,"TENURE
Leasehold",Yes,Ask agent
290,"Holland Park Villas, 6 Campden Hill, London W8",1303923000,5,Apartment,4,0,Yes,"TENURE
Leasehold",Yes,Band: H
291,"The Bishops Avenue, London, N2",1298622500,8,Detached,10,11000,Yes,-,Yes,Band: H
293,"Kensington Court, London, W8",1272120000,13,Block of Apartments,13,0,Yes,-,Ask agent,Ask agent
294,"Buckingham Gate, St James's, SW1",1272120000,3,Apartment,3,5000,Ask agent,-,Yes,Ask agent
295,"Ingram Avenue, Hampstead Garden Suburb",1272120000,6,Detached,6,0,Yes,-,Yes,Band: H
296,"Chester Terrace, Regent's Park, London, NW1",1272120000,5,Terraced,4,4000,Yes,"TENURE
Leasehold",Yes,Band: H
297,"Chester Terrace, London, NW1",1272120000,5,House,5,4000,Ask agent,-,Yes,Ask agent
298,"Wycombe Square, Kensington, London, W8",1272120000,5,Terraced,5,0,Yes,-,Yes,Band: H
299,"Kensington Court, London, W8",1272120000,13,Block of Apartments,13,6000,Yes,-,Ask agent,Band: D
300,"Melina Court, St Johns Wood, NW8",39753750,1,Flat,1,442000,Ask agent,"TENURE
Leasehold",Ask agent,Band: C
301,Buckingham Gate Westminster SW1E,1272120000,3,Apartment,3,0,Terrace,"TENURE
Leasehold",Off street,Ask agent
302,"Queen's Gate Place, London, SW7",1272120000,12,House,8,8000,Patio,-,Ask agent,Ask agent
303,"St Anselms Place, Mayfair, London, W1K",1272120000,5,Mews,4,5000,Yes,-,Yes,Band: H
304,"Ingram Avenue, Hampstead Garden Suburb, London, NW11",1272120000,6,Detached,7,8000,Yes,-,Yes,Band: H
305,"Half Moon Street, London, W1J",1272120000,5,Terraced,5,5000,Ask agent,-,Ask agent,Band: H
306,"Kensington Court, London, W8",1272120000,13,Terraced,6912,0,Ask agent,-,Ask agent,Band: B
307,"Walton Place, London, SW3",1272120000,5,Terraced,5,3000,"Private garden,",-,Ask agent,Ask agent
308,"The Penthouse, 205 City Road, London EC1V 1AT",1272120000,5,Penthouse,5,7000,Ask agent,"TENURE
Leasehold",Yes,Ask agent
309,"Barlby Road, London, W10",1271589950,5,House,6,4000,"Patio,",-,Yes,Ask agent
310,"Barlby Road, London, W10",1271589950,5,Terraced,5,0,Yes,-,Yes,Band: G
311,"Adam's Row, London, W1K",1266819500,4,House,5,0,Yes,-,Yes,Ask agent
312,"Adam's Row, Mayfair, London, W1K",1266819500,4,Terraced,4,3000,Ask agent,-,Yes,Band: H
313,"Harley Road, Primrose Hill, London, NW3",1266819500,7,Detached,7,0,Yes,-,Yes,Band: H
314,Adams Row,1266819500,4,Terraced,5,3000,Ask agent,-,Yes,Band: TBC
315,"Adams Row, Mayfair",1266819500,4,House,4,3000,Yes,-,Yes,Ask agent
316,"Adams Row, London, W1K",1266819500,4,Terraced,5,3000,Ask agent,-,Yes,Ask agent
317,"Winnington Road, London, N2",1266819500,9,Detached,8,14000,Ask agent,-,Ask agent,Ask agent
318,"Adams Row, W1K",1266819500,4,House,5,3000,Ask agent,-,Yes,Band: H
319,"Adams Row, Mayfair, London, W1K",1266819500,4,House,5,3000,Ask agent,-,Garage,Ask agent
320,"Adams Row, Mayfair, W1K",1266819500,4,House,5,0,Ask agent,-,Yes,Ask agent
321,"Adams Row, Mayfair, London, W1K",1266819500,5,Terraced,5,3000,Ask agent,-,Yes,Band: H
322,"Adams Row, London, W1K",1266819500,4,Mews,3,4000,Ask agent,-,Ask agent,Ask agent
323,"Grosvenor Crescent Mews, Belgravia, SW1X",1266819500,4,Mews,4,3000,Ask agent,-,Yes,Band: D
324,"Adams Row, Mayfair",1266819500,4,House,6,3000,Ask agent,-,Ask agent,Ask agent
325,"Plashet Grove, London, E6",58305500,3,Terraced,1,1000,Private garden,-,Permit,Band: C
326,"Harley Road, Primrose Hill, NW3",1266819500,6,Detached,7,5000,Yes,-,Yes,Ask agent
327,"Upper Brook Street, Mayfair",1266819500,8,House,6,6000,Yes,-,Ask agent,Ask agent
328,"Grosvenor Crescent Mews, Belgravia, London, SW1X",1266819500,3,Terraced,4,0,Ask agent,-,Yes,Band: D
329,"Montrose Place, Belgravia, London",1250387950,3,Flat,3,3000,Ask agent,"TENURE
Leasehold",Yes,Band: H
330,"Park Modern, Apartment 42, 123 Bayswater Road, London, W2",1245617500,3,Apartment,3,2000,Yes,"TENURE
Leasehold",Yes,Band: H
331,"Buxmead, 67 The Bishops Avenue, London, N2",1240317000,7,Apartment,7,7000,Yes,"TENURE
Leasehold",Yes,Band: H
332,"Penthouse, Southbank Tower, 55 Upper Ground, SE1",1228655900,5,Apartment,4,4000,Yes,"TENURE
Leasehold",Yes,Band: H
333,"Abercorn Place, London, NW8",1219115000,8,Detached,8,0,Yes,-,Yes,Band: H
334,"Walton Place, London, SW3",1219115000,5,End of Terrace,4,4000,Yes,-,Ask agent,Band: H
335,"Pembroke Walk, Kensington, London",1219115000,5,End of Terrace,6,4000,Yes,-,Yes,Band: TBC
336,"Granville Park, London",1219115000,7,Detached,5,8000,Yes,-,Yes,Band: H
337,"Thurloe Square, South Kensington, SW7",1219115000,5,Terraced,5,5000,Ask agent,-,Ask agent,Band: H
338,"Palace Gardens Terrace, Kensington, London, W8",1219115000,6,Terraced,3,4000,Yes,-,Ask agent,Band: H
339,"Granville Park, London, SE13",1219115000,6,Detached,5,8000,Private garden,-,"Garage,",Band: H
340,"Buckingham Gate, St James, London, SW1E",1219115000,3,Apartment,4,3000,Ask agent,"TENURE
Leasehold",Yes,Ask agent
341,"Great College Street, London, SW1P",1219115000,10,Terraced,7,7000,Yes,-,Ask agent,Band: H
342,"Thurloe Square, London, SW7",1219115000,5,Terraced,5,5000,Communal garden,-,Ask agent,Ask agent
343,"Pembroke Walk, London, W8",1219115000,5,Detached,6,0,Yes,-,Yes,Band: H
344,"Clarges Street, Mayfair, London, W1J",1219115000,2,Flat,2,0,Ask agent,"TENURE
Leasehold",Yes,Band: H
345,"Earls Terrace, London, W8",1192612500,5,Terraced,5,0,Yes,-,Yes,Band: H
346,"Park Modern, Apartment 32, 123 Bayswater Road, London, W2",1192612500,3,Apartment,3,2000,Yes,"TENURE
Leasehold",Yes,Band: H
347,"Bolsover Street, Fitzrovia, London, W1W",1166110000,4,Penthouse,4,3000,Ask agent,"TENURE
Leasehold",Yes,Band: TBC
348,"Montrose Place, London, SW1X",1166110000,5,Apartment,4,4000,Ask agent,"TENURE
Leasehold",Yes,Band: H
349,"Redington Road, Hampstead, London, NW3",1166110000,5,Detached,4,6000,Yes,-,Yes,Ask agent
350,"Albion Gate, Albion Street, London, W2.",874582500,4,Flat,3,0,Yes,"TENURE
Leasehold",Yes,Band: H
351,"Montrose Place, Belgravia, London, SW1X",1166110000,3,Flat,2,0,Yes,"TENURE
Leasehold",Yes,Band: H
352,"Craven Street, London, WC2N",1166110000,6,Town House,3,0,Yes,-,Off street,Band: H
353,"Hyde Park Gardens, Hyde Park, W2",1166110000,10,Terraced,8,11000,Private garden,"TENURE
Leasehold",Ask agent,Ask agent
354,"Ennismore Gardens, London, SW7",1166110000,4,Flat,3,3000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
355,"Hereford House, Mayfair, London, W1K",1166110000,4,Apartment,5,2000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
356,"Montrose Place, Belgravia, London, SW1X",1166110000,5,Flat,5,0,Ask agent,"TENURE
Leasehold",Yes,Band: H
357,"55 Knightsbridge Gate, Knightsbridge, London, SW1X 7BF",1160809500,3,Apartment,3,2000,Ask agent,"TENURE
Leasehold",Yes,Ask agent
358,"Fitzhardinge Street, London, W1H",1160809500,3,Flat,3,2000,Ask agent,-,Ask agent,Ask agent
359,"Wilton Place, London, SW1X",1160809500,5,Terraced,4,4000,Yes,-,Ask agent,Band: H
360,"St. Katharines Precinct, Regent's Park, London, NW1",1160809500,4,Terraced,3,4000,Yes,"TENURE
Leasehold",Yes,Band: H
362,"St Katharine's Precinct, London, NW1",1160809500,4,Terraced,3,4000,Yes,"TENURE
Leasehold",Yes,Band: H
363,"Beverly House, 133 Park Road, St. John's Wood, London, NW8",1160809500,5,Penthouse,5,4000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
364,"The Knightsbridge, Knightsbridge, SW7",1160809500,4,Apartment,3,2000,Yes,"TENURE
Leasehold",Yes,Band: H
365,"St Marks Crescent, Primrose Hill, London, NW1",1160809500,4,End of Terrace,5,4000,Ask agent,-,Ask agent,Band: TBC
366,"Beverly House, Park Road, St Johns Wood, NW8",1160809500,5,Apartment,5,4000,Ask agent,"TENURE
Leasehold",Ask agent,Band: H
367,"Thurloe Square, Knightsbridge, SW7",1160809500,7,Terraced,7,0,Yes,-,Ask agent,Band: H
368,"Beverly House, Park Road, London, NW8",1160809500,5,Penthouse,5,0,Ask agent,-,Yes,Ask agent
369,"Bruton Place, Mayfair, London, W1J",1160809500,4,Terraced,4,3000,Ask agent,"TENURE
Leasehold",Yes,Band: TBC
370,"Bruton Place, Mayfair, London, W1J",1160809500,4,Terraced,4,3000,Ask agent,"TENURE
Leasehold",Yes,Band: H
371,"Langford Place, London, NW8",1160809500,8,Link Detached House,5,0,Yes,-,Yes,Band: H
372,"Montpelier Square, London, SW7",1160809500,6,Terraced,6,4000,Yes,-,Ask agent,Band: H
373,"Farm Street, Mayfair, W1J",1160809500,4,Terraced,5,4000,Terrace,-,Private,Ask agent
374,"Addison Avenue, London, W11",1160809500,4,House,5,3000,Yes,-,Ask agent,Ask agent
375,Shepherdess Walk,148408699,1,Apartment,1,0,Ask agent,"TENURE
Share of Freehold",Yes,Ask agent
376,"Knightsbridge, London, SW1X",1160809500,3,Apartment,3,2000,Ask agent,"TENURE
Leasehold",Yes,Ask agent
377,"Lyall Street, London, SW1X",1160809500,4,End of Terrace,4,3000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
378,"Park Crescent, London, W1B",1160809500,3,Flat,3,2000,Ask agent,-,Yes,Ask agent
379,"Farm Street, Mayfair, W1J",1160809500,7,Terraced,4,4000,Terrace,-,Ask agent,Ask agent
380,"Thurloe Square, South Kensington, London, SW7",1160809500,7,Terraced,7,5000,Ask agent,-,Ask agent,Band: H
381,"Herbert Crescent, Knightsbridge, SW1X",1160809500,6,Terraced,6,0,Ask agent,-,Permit,Ask agent
382,"Knightsbridge Gate, Apartment 2, 55 Knightsbridge, London, SW1X",1160809500,3,Apartment,3,2000,Ask agent,"TENURE
Leasehold",Ask agent,Band: H
383,"Farm Street, Mayfair",1160809500,5,House,7,4000,Yes,-,Yes,Ask agent
384,"Knightsbridge, London, SW7",1160809500,4,Apartment,3,2000,Yes,"TENURE
Leasehold",Yes,Ask agent
385,"Greville Place, St John's Wood, London, NW6",1160809500,6,Detached,6,6000,Yes,-,Yes,Band: H
386,"Hyde Park Gate, London, SW7",1160809500,6,Semi-Detached,6,5000,Yes,-,Ask agent,Ask agent
387,"Knightsbridge Gate, Apartment 3, 55 Knightsbridge, London, SW1X",1139607500,5,Apartment,5,2000,Ask agent,"TENURE
Leasehold",Ask agent,Band: H
388,"Knightsbridge, London, SW1X",1139607500,3,Apartment,3,2000,Ask agent,"TENURE
Leasehold",Yes,Ask agent
389,"Randolph Road, London, W9",1123706000,5,Semi-Detached,4,3000,Ask agent,-,Ask agent,Ask agent
390,"Hyde Park Street, Hyde Park, London, W2.",1113105000,8,Terraced,7,0,Yes,-,Yes,Band: H
391,"Park Modern, Bayswater Road, Hyde Park, London W2 3JH.",1113105000,3,Apartment,3,0,Yes,"TENURE
Leasehold",Yes,Ask agent
393,"South Street, Mayfair",1113105000,6,House,4,4000,Ask agent,-,Yes,Ask agent
394,"One Kensington Gardens, 18 De Vere Gardens, Kensington, London, W8 5AE",1113105000,4,Apartment,4,0,Yes,"TENURE
Share of Freehold",Yes,Ask agent
395,"Whistler Square, London, SW1W",1113105000,3,Apartment,4,2000,Yes,"TENURE
Leasehold",Underground,Ask agent
396,"Park Modern, Apartment 22, 123 Bayswater Road, London, W2",1113105000,3,Apartment,3,2000,Yes,"TENURE
Leasehold",Yes,Band: H
397,"Egerton Terrace, London, SW3",1113105000,4,Terraced,3,2000,Yes,-,Ask agent,Band: H
398,"Hans Place, Knightsbridge SW1X",1113105000,7,Detached,4,4000,Yes,-,Ask agent,Band: H
399,"1 Ebury Square, Belgravia, London SW1W",1107804500,4,Flat,4,3000,Ask agent,"TENURE
Leasehold",Yes,Band: H
400,"Abbey Wall, Station Road, South Wimbledon, SW19",74207000,3,Flat,2,915000,Yes,"TENURE
Leasehold",Yes,Ask agent
401,"Palace Gardens Terrace, Kensington, London",1107804500,5,Terraced,3,3000,Yes,-,Ask agent,Band: H
402,"Bayswater Road, London, W2",1086602500,3,Apartment,4,1000,Yes,-,Yes,Ask agent
404,"Montrose Place, Belgravia, SW1X",1086602500,3,Flat,3,3000,"Private garden,","TENURE
Leasehold",Yes,Ask agent
405,"Montrose Place, London, SW1X",1086602500,3,Apartment,4,3000,Yes,"TENURE
Leasehold",Yes,Band: H
406,"Beaufort Gardens, London, SW3",1086602500,18,Terraced,18,0,Yes,-,Permit,Ask agent
407,"Bondway, Nine Elms, SW8",1060100000,5,Penthouse,6,0,Yes,-,Yes,Ask agent
408,"York House Place, Kensington, London",1060100000,4,Flat,3,2000,Yes,"TENURE
Share of Freehold",Yes,Band: H
409,"Argyll Road, London, W8",1060100000,6,Terraced,5,4000,Yes,-,Yes,Ask agent
410,"DAMAC Tower, Bondway",1060100000,5,Penthouse,4,3000,Yes,"TENURE
Leasehold",Ask agent,Band: H
411,"Bondway, Vauxhall",1060100000,5,Penthouse,3,0,Yes,"TENURE
Leasehold",Ask agent,Ask agent
412,"Frank Dixon Close, London, SE21",1060100000,6,Detached,6,7000,Yes,-,Yes,Band: H
413,"Ovington Square, London, SW3",1060100000,5,Terraced,5,2000,"Back garden,",-,Ask agent,Ask agent
414,"New Globe Walk, London, SE1",1060100000,5,Flat,5,4000,Terrace,"TENURE
Share of Freehold",Allocated,Band: H
415,"Damac Tower Nine Elms London, 71 Bondway, London",1060100000,5,Apartment,4,3000,Ask agent,"TENURE
Leasehold",-,Band: C
416,"Totteridge Village, Totteridge, London, N20",1060100000,5,Detached,4,10000,"Back garden,",-,Yes,Ask agent
417,"Argyll Road, Kensington, London, W8",1060100000,6,Terraced,5,0,Yes,-,Yes,Band: H
418,"67 Bondway, London, Surrey, SW8",1060100000,5,Duplex,4,0,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
419,"1 - 9, Sandycombe Road, London, TW9 2EP",1060100000,31,Block of Apartments,14030,0,Ask agent,-,Yes,Ask agent
420,"Palace Gardens Terrace, Kensington, London, W8",1060100000,4,Terraced,4,3000,Yes,-,Ask agent,Band: H
421,"Damac Tower, Nine Elms, SW8",1060100000,5,Penthouse,5,0,Yes,"TENURE
Leasehold",Yes,Band: H
422,"Westminster, London",1060100000,4,Apartment,3,2000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
423,"The King's Hall, The Sloane Building, Hortensia Road, London, SW10",1060100000,5,Duplex,5,6000,Yes,"TENURE
Share of Freehold",Yes,Band: H
424,"Elm Tree Road, London, NW8",1059569950,6,House,7,5000,Yes,-,Yes,Ask agent
425,"Belvedere Court, 82 Kings Avenue, London, SW4",50354750,2,Apartment,1,0,Ask agent,"TENURE
Share of Freehold",Yes,Band: D
426,"Lindfield Gardens, Hampstead, NW3",1059569950,6,Detached,6,7000,Yes,-,Yes,Ask agent
427,"Lowndes Square, London, SW1X",1059569950,3,Duplex,4,3000,Ask agent,"TENURE
Share of Freehold",Ask agent,Band: TBC
428,"Elm Tree Road, London, NW8",1059569950,6,Detached,7,0,Yes,-,Yes,Band: H
429,"Palace Gardens Terrace, London, W8",1059569950,5,Terraced,3,0,Yes,-,Ask agent,Band: H
430,"Marryat Road, Wimbledon Village, SW19",1057449750,8,Detached,7,9000,Ask agent,-,Ask agent,Band: H
431,"Daleham Gardens, Hampstead, NW3",1054799500,7,House,6,0,Yes,-,Yes,Ask agent
432,"Redington Gardens, Hampstead, London NW3",1054799500,7,House,6,7000,Yes,-,Yes,Ask agent
433,"Redington Gardens, Hampstead, London, NW3",1054799500,7,Semi-Detached,6,7000,Yes,-,Yes,Ask agent
434,"Park Road, Isleworth, TW7",1054799500,8,Detached,7,10000,Private garden,-,Private,Ask agent
435,"Kings Gate Walk, London, SW1E",1054799500,5,Penthouse,4,3000,Ask agent,"TENURE
Leasehold",Yes,Band: G
436,"Hamilton Terrace, London, NW8",1054799500,6,Detached,4,0,Yes,-,Yes,Band: H
437,"Ovington Square, Knightsbridge, London, SW3",1054799500,5,Town House,5,0,Yes,-,Ask agent,Band: H
438,"Hamilton Terrace, St. John's Wood, London, NW8",1054799500,6,Detached,4,0,Yes,-,Yes,Band: TBC
439,"Mallord Street, Chelsea, London",1054799500,7,House,6,4000,Yes,-,Ask agent,Band: H
440,"Chester Terrace, Marylebone, NW1",1054799500,5,Terraced,5,4000,Ask agent,"TENURE
Leasehold",Yes,Band: H
441,"Montpelier Square, Knightsbridge, London, SW7",1054799500,6,House,5,4000,"Back garden,",-,Ask agent,Ask agent
442,"Chester Terrace, Regent's Park, London, NW1",1054799500,5,Terraced,4,4000,Ask agent,"TENURE
Leasehold",Yes,Band: H
443,"Hamilton Terrace, St Johns Wood, NW8",1054799500,6,Link Detached House,4,5000,Yes,-,Yes,Band: H
444,"Cadogan Square, London, SW1X",1054799500,4,Duplex,5,3000,Yes,"TENURE
Share of Freehold",Yes,Band: H
445,"Grosvenor Square, Mayfair, London, W1K",1054799500,3,Flat,3,0,Ask agent,"TENURE
Leasehold",Yes,Band: H
446,"Elsworthy Road, London, NW3",1054799500,5,Semi-Detached,5,0,Yes,-,Ask agent,Ask agent
447,"George Street, London, W1H",1054799500,7,Apartment,3,3000,Ask agent,"TENURE
Share of Freehold",Garage,Ask agent
448,"Mallord Street, London, SW3",1054799500,7,Town House,6,4000,Yes,-,Ask agent,Ask agent
449,"Chester Street, London, SW1X",1054799500,5,House,6,4000,"Rear garden,",-,"On street,",Ask agent
450,"Chigwell Road, London, E18",26502500,1,Apartment,2,506000,Patio,"TENURE
Leasehold",Ask agent,Ask agent
451,"Belgrave Place, Belgravia, London, SW1X",1054799500,3,3,3474,0,Ask agent,"TENURE
Leasehold",Ask agent,Band: H
452,"Chester Terrace, London, NW1",1054799500,5,Terraced,4,4000,Ask agent,"TENURE
Leasehold",Yes,Ask agent
454,"Worship Street, London, EC2A 2",1049499000,4,Penthouse,4,2000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
455,"Principal Tower, City, EC2A",1049499000,3,Penthouse,2,2000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
456,"Worship Street, London, EC2A",1049499000,3,Flat,3,2000,Ask agent,"TENURE
Leasehold",Yes,Ask agent
457,"Principal Place, EC2A",1049499000,2,Flat,2,2000,Terrace,"TENURE
Leasehold",Yes,Ask agent
458,"Worship Street, London, EC2A",1049499000,3,Penthouse,3,0,Yes,"TENURE
Leasehold",Ask agent,Ask agent
459,"Worship Street, Shoreditch, EC2A",1049499000,2,Apartment,2,2000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
